title,company,location,description,date
Software Engineer-Entry Level,Kratos Defense,"Huntsville, AL","[   Kratos is seeking qualified Entry to Junior Level Software Engineering candidates to join a dynamic Software Engineering Team providing mission critical product to the Missile Defense Agency (MDA). Candidates will be supporting the fast-paced world of Ballistic Missile Defense System (BMDS) flight and ground testing which ensures the defense or our nation from ballistic missile attack. You will join a capable team of experienced Engineers supporting the development and maintenance of multiple software applications spanning multiple operational environments.  Essential Job Functions:  Candidates should have experience in the use of Visual Studio, C++, C#, SQL and standard configuration management packages (such as Subversion). Candidates should also have knowledge of structured software development environments focused on process improvement and Customer support, and familiarity with System/Software Engineering documentation. Knowledge of the SEI/CMMI methodology is helpful as well as is experience working in a team environment.  WORK ENVIRONMENT/PHYSICAL REQUIREMENTS:  Office environment at a US Government Facility Ability to stand and sit for long periods of time Ability to perform repetitive motion (keyboarding, 10-key, phones) Office/computer lab The work environment characteristics are representative of thse that an employee encounters while performing essential fucntions of a job in a typical workstation situation. Able to work sitting or standing at a desk and operate a computer via standard input devices duch as using a keyboard and/or mouse and reading information on a monitor from a desktop or portable device.  Required Experience:  KNOWLEDGE, SKILLS &amp; ABILITIES:  Required:  Ability to Obtain a Secret Clearance Excellent verbal and written communication skills Excellent interpersonal skills Ability to be flexible in their work schedule Willingness to provide a high quality of Customer service Willingness to follow established processes and procedures  EDUCATION AND EXPERIENCE:  BS Degree in Computer Engineering, Computer Science or equivalent 0-2 years of experience  Job Type: Full-time  Experience:   Software Development: 1 year (Preferred)   Education:   Bachelor's (Preferred)   Work authorization:   United States (Required)   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off  Tuition reimbursement   Visa Sponsorship Potentially Available:   No: Not providing sponsorship for this job   This Job Is:   A job for which military experienced candidates are encouraged to apply   Schedule::   Monday to Friday    ]",12-27-2019
Software Engineer,Sage,"Atlanta, GA","[       Advert   Sage is a global company with a local heart. The market leader for cloud-based accounting, financials, enterprise management, people, and payroll software, we empower the world’s business heroes—from single-person startups to large enterprises. Our people are passionate and positive. We inspire our colleagues to serve business builders everywhere and champion their success. As a FTSE 100 company with 14,000 colleagues across 24 countries, we do business the right way, while giving back to our local communities through the Sage Foundation. Sage is passionate about building a culture where our colleagues feel they can bring their whole selves to work. Where people know they’ll be judged on their performance and behaviours - not their identity. All qualified applicants will receive consideration for employment and will not be discriminated against based on their race, color, age, religion, sexual orientation, gender identity, national origin, disability or veteran status.       Job Description   The Full Stack Software Engineer is responsible for building, enhancing and maintaining products and systems to enable Sage People’s business plans and long term objectives based on the Salesforce platform. The current focus is on developing a payroll system and a number of scalable microservices.     The Developer will design, develop and deliver high quality products and/or systems and services that exceed customers’ or business partners’ expectations and will proactively share their own knowledge for specific technical solutions and business processes in their area of responsibility within a team focused on time and attendance within the Sage People product       Key Responsibilities   Key Responsibilities:      Involved in an agile software development team successfully developing, delivering, and maintaining high quality software on the Salesforce platform     Contribute to quality activities, incl. peer reviews of estimates, designs and code     Resolve defects/bugs during QA testing, pre-production, production, and post-release patches     Be an active and enthusiastic team player. Partner effectively with all team members to deliver against commitments.     Participate in all phases of the project lifecycle     Maintain relevant documentation to describe logic, coding/configuration, testing and changes where applicable.     Ensure all tasks are completed to the required quality standards.     Provide 3rd tier support and/or expertise for the area of responsibility      Skills, know-how and experience:      Knows and applies the fundamental concepts, practices and procedures of software development.     Passion for developing software that satisfies the customers’ needs.     Proven experience with Agile Development, SCRUM, and/or Extreme Programming methodologies     Ability to interpret and document user requirements and translate these into technical specifications and/or code     High numerical reasoning and logic ability with good problem-solving skills     Knowledge of one or more relevant programming languages (e.g. C# / DotNet Core, Java, Apex), frameworks and databases     Be willing to adapt to significant changes in either technology or environment and train/up-skill to various technologies as needed     Broad operational knowledge in current information technology (Cloud, Social, Mobility, IoT, Big Data…)     Knowledge of common architecture best practices and patterns (Microservices, CQRS, Event Sourcing, Domain-Driven Design, …)     Proven experience of designing and delivering solutions exceeding customer requirements      Preferred:      Innovative and creative thinking     Proven experience in using a TDD approach     Payroll domain knowledge      Technical / professional qualifications:      Computer Science (or related degree/qualification)     Ideally contribution to open source software projects     Real world application development experience        ]",12-27-2019
Senior Software Engineer,TRANZACT,"Raleigh, NC 27605","[   TRANZACT is a leading player in online insurance marketing and sales. To drive growth and innovation, TRANZACT has created a small, agile team built with the DNA of a startup. We’re looking for a creative, talented .NET developer to join our team in Raleigh, NC. We are an agile development team that fully embraces the DevOps culture. You will be a part of building/evolving a customized content management system to support Tranzact’s line of business over the years to come.   How the Position Works    We are seeking a Senior Software Engineer to join the team working on our marketing content management system, a dynamic and challenging role that will touch the entire stack and have visible impact across the organization.  This is a fast-paced role that offers the ability to learn and experiment at the cutting edge. The specific responsibilities of the Sr. Software Engineer include; · Execute product specification, system design, development and system integration  · Develop new product concepts and development, deliver product prototypes  · Work in a collaborative, agile technical team on marketing CRO and Analytics projects  · Write application software and manipulate data  · Identify opportunities to optimize code for speed and performance   What you need to be successful    · BS degree in Computer Science, Engineering or MIS  · 4 -8 year’s experience in software development  · 3 or more years of experience building and maintaining content management systems and web applications in .NET platform 4.0+.  · C# as a primary programming language.  · Experience in Agile Software development  · Experience with .NET, MS Azure  · Solid understanding of Google Analytics, Google Tag Manager and Conversion Rate Optimization.  · Passion and curiosity for new technology in the ASP.NET, HTML5 and JavaScript space.  · Ability to work in a fast-paced environment  · Ability to learn new languages and frameworks quickly   What we would LOVE to see!    · Umbraco CMS experience  · Experience in a digital marketing  · Experience with .NET Core  · Experience with CI/CD pipelines  Job Type: Full-time  Experience:   Software Engineering: 6 years (Required)   Location:   Raleigh, NC (Required)   Work authorization:   United States (Required)   Additional Compensation:   Bonuses   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off  Parental leave  Professional development assistance    ]",12-27-2019
Software Engineer-Collision Avoidance Solutions (CAS),Sabre Systems Inc.,"Lexington Park, MD 20653","[    Responsibilities:    Sabre Systems, Inc. is currently looking for a Software Engineer to support the NAWCAD Software Engineering Competency. The selected candidate will support Terrain Awareness Warning System (TAWS) development for the Collision Avoidance Solutions (CAS) Team. The selected candidate’s support will consist of performing design, review, coding, and testing to implement new code/enhanced capabilities. They will ensure the TAWS software meets the DoD Standard Practice for System Safety MIL-STD-882E and will support tasks from Joint Software Systems Safety Engineering handbook. The selected candidate will also be responsible for the re-architecture, which will reduce testing requirements through software partitioning and modularity, re-allocate software components, and reduce software development and sustainment costs, extend the useful life of legacy host environments.   Qualifications:    Desired Qualifications:   Working knowledge of Ada programming language  Working knowledge of aircraft flight dynamics and performance  Experience with Enterprise Architect, UML, and MBSE  Experience with VectorCAST or other software unit testing frameworks  Experience with aircraft systems and data busses (ARINC-429, MIL-STD-1553, ethernet)  Ability to evaluate and analyze requirements and provide software solution development for safety-critical software (MIL-STD-882E)    Required Qualifications:     Bachelor's Degree required and 5+ years of experience  Full Life Cycle support experience  Strong system software design and code development utilizing C++ and object oriented principles.  Familiar with Ada is desirable.  Prepare software documentation and required artifacts.  Experience with software testing, scripting/automation.  Ability to work in a Team environment – Experience to include System/Software Development Processes, best practices, scripting/automation and MBSE.  Ability to evaluate and analyze requirements and provide software solution development for safety-critical software.  Familiar with Mil-Std-882E.  Experience with aircraft systems and data buses (ARINC-429, Mil-Std-1553)  Flight Safety systems experience  TAWS experience desired  MIL-STD-882E knowledge  Software development experience in Mission computer, Flight systems.  Basic knowledge of aircraft flight dynamics  Experience with software testing, scripting/automation  Secret clearance required.  Candidate must be a US Citizen.    Overview:    Sabre Systems, Inc. is a quality driven, customer focused large business providing innovative solutions in the areas of Cyber, C4ISR, Business Intelligence and Data Analytics, and Enterprise Modernization to federal and civilian customers. Our mission is to ensure our customers have the technology, services, and expertise to overcome threats, maintain superiority, and quickly adapt to emerging obstacles. At Sabre, we're more than just a job - we're a team - and we care for and nurture our employees like family. If you want to be a part of creating and implementing enduring solutions that transform mission challenges into mission success – join Sabre!  Sabre provides an excellent benefits package, which includes healthcare, paid days off, tuition reimbursement, and a 401K plan.  We respect the unique perspectives that a diverse workforce of minorities, women, individuals with disabilities, and protected veterans brings not only to our company, but also to our customers. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or national origin.  Job Type: Full-time  Experience:   Software Engineering: 5 years (Required)  Ada: 1 year (Preferred)  C++: 1 year (Required)  Software Testing: 3 years (Required)  Actice DoD Secret Clearance or higher: 1 year (Required)   Education:   Bachelor's (Required)   Work authorization:   United States (Required)    ]",12-27-2019
Principal Software Engineer,Sierra Nevada Corporation,"Herndon, VA 20171","[   We are seeking an experienced Software Engineer with a Bachelor's degree in Computer Science or a related Engineering field and at least 14 years of relevant experience. In this challenging, fast-paced environment, you'll have the opportunity to apply your knowledge and experience to design and create the most groundbreaking aerospace and defense technologies - those that exist today and those that will shape tomorrow.    What to look forward to:    As a Principal Software Engineer at SNC, you will be using your skills and expertise to research, architect, model, design, implement and test cutting edge products &amp; services. These cover a very wide range from state of the art model based systems to big data applications involving cybersecurity, geospatial intelligence and open source data exploitation. You'll be responsible for interfacing directly with the government customer while leading a team of software engineers developing complex software products in an Agile Scrum based development environment. As a cross functional engineer, you are responsible for system level ownership of products and processes through the product life cycle.     Must-haves:      Bachelor's degree or higher in Computer Science or related Engineering discipline and typically 14 or more years of relevant experience     Demonstrated experience architecting complex enterprise level applications     Experience working in multi-disciplinary design &amp; development teams     Experience working with scalable applications in a Cloud Based environment (AWS preferred)     High proficiency working with any one of the Object Oriented Programming languages (Java preferred)     Experience building scalable applications from design to production deployment in an Agile scrum based development methodology.     Experience working with Continuous Integration (CI) and Continuous Delivery (CD) pipelines.     Ability to lead a team of other senior engineers     An active Secret U.S. Security Clearance required      Preferred  :      Experience with requirements management and interfacing with customers to break down business requirements to technical specification documents.     Full stack development experience which involves familiarity with modern Javascript frameworks (Angular, Meteor, React)     Experience working with NoSQL databases viz. MongoDB, Elasticsearch, HBase, Cassandra     Experience working with Relational databases viz. Oracle 12c, MySQL, PostgreSQL     Knowledge of industry design principles, to include, but not limited to requirements management, Model Based System Engineering (MBSE)·        IMPORTANT NOTICE:   This position requires an active Top Secret U.S. Security Clearance. U.S. Citizenship status is required as this position needs an active U.S. Security Clearance for employment. Non-US citizens may not be eligible to obtain a security clearance. The Department of Defense Consolidated Adjudications Facility (DoD CAF), a federal government agency, handles the adjudicative aspects of the security clearance eligibility process for industry applicants. Adjudicative factors which affect the outcome of the eligibility determination include, but are not limited to, allegiance to the US, foreign influence, foreign preference, criminal conduct, security violations and illegal drug use.     At Sierra Nevada Corporation (SNC) we deliver customer-focused technology and best-of-breed integrations in the aerospace and defense sectors. SNC has been honored as one of the most innovative U.S. companies in space, a Tier One Superior Supplier for the U.S. Air Force, and as one of America’s fastest-growing companies. Learn more about SNC      Sierra Nevada Corporation is an Equal Opportunity Employer    – Minority / Female / Disability / Veteran, or any other protected status   pursuant to applicable local, state or federal law, ordinance or regulation.      ]",12-27-2019
Software Engineer in Test,Sandata Technologies,"Louisville, KY","[   The Software Engineer in TEST is a key member of our development team focused on testability and the test infrastructure needed to foster automated testing across our development teams with a concentration on increasing code quality and test coverage. You will be responsible for developing complex automated testing and framework solutions that allow Sandata to deliver quality solutions to our customers.  You will assist QA Automation management in the analysis, review and recommendations for improving people, processes and technology within Engineering that will lead to the improved overall quality of Sandata developed solutions. The SET contributes to establishing ongoing improvements to Engineering processes in order to “shift left” in quality.   Sandata employees enjoy the following benefits:     Medical, dental, and vision coverage  Flexible Spending Account for health and dependent care  Life insurance  401(k) Plan  Aflac STD, LTD, Critical Illness, Hospital, and Accident insurance  Tuition reimbursement  Paid vacation and holidays  Paid lunch break  Employee discounts and company perks  Onsite Gym  Casual work environment    Requirements:     BS or MS degree in business, computer science, IT or equivalent experience  Extensive experience working with end-to-end testing processes and methodologies/frameworks  Deep experience implementing complex test automation techniques and tools  Ability to articulate the role of testing in an overall QA function and to influence a team of testers and developers towards a culture of “fail early” and “building quality in”  Experience working in an Agile (Scrum) environment implementing CI/CD and TDD/BDD  Experience working with Selenium grid and implementing parallel test execution  Preparation of defect reports and defect metrics, preferably automated  Defect Analysis and management experience  Strong knowledge of Software Development and Testing Life Cycles  In-depth understanding of industry-leading QA tools, techniques, and platforms  Knowledge of unit testing, automation testing, regression testing, end-to-end testing, etc.  Hands on experience working in a CI/CD environment with Jira, Bitbucket, Bamboo, SonarQube, Confluence, qTest, JMeter, Selenium, Appium, HP-UFT/QTP, and JMeter  Test development experience using Java, Spring, Python, C#, and/or Ruby  Knowledge of CSS, Javascript frameworks (AngularJS, React), XML, JSON, SQL, NoSQL  Expertise in test planning, test case management, code coverage and defect analysis.  Strong interpersonal skills to achieve process changes and departmental goals across teams  Strong written and verbal communication skills    Responsibilities:     Develop test automation code and scripts for the purposes of validating feature code quality  Contribute to the development and maintenance of best practices required to manage test data, test plans, test repositories and test framework infrastructure  Develop mechanisms for collecting, interpreting, tracking and reporting on test execution and quality metrics  Works with team to develop software applications from inception through completion  Defines high level test plans, creates test cases and executes them (both manually and automatically) for functional, integration, system and regression testing  Collaborate with stakeholders and project team to identify needs and gather requirements  Support the team in the design of user stories and acceptance criteria  Advocate and evangelize best practices such as pair programming, Test Driven Development (TDD), behavioral-driven development (BDD), Continuous Integration (CI) and Continuous Delivery (CD)  Advocate automation of every part of the software delivery lifecycle  Assist scrum team with sprint planning, test design, test execution, defect analysis/root cause investigation &amp; reporting on test status  Identify defects and missing information in requirements  Implement and continually improve an automated testing framework at all levels of the application stack  Design and implement automated test cases  Contribute to the creation of a regression test plan specific to the project.  Perform manual testing as required  Actively participate in the creation of quality assurance standards and recommendations for changes to the processing systems  Review and recommend improvements to tools and technologies conducive to end to end visibility of the quality delivery pipeline    Sandata Technologies is an Equal Opportunity Employer M/F/Disabled/Vet    Indeed Hire and Sandata Technologies are working together to find the best candidate for this job.    By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.   Job Type: Full-time  Experience:   Working with end-to-end testing processes and methodologies/frameworks: 1 year (Required)  CSS, Javascript frameworks (AngularJS, React), XML, JSON, SQL, NoSQL: 1 year (Preferred)  CI/CD environment with Jira, Bitbucket, Bamboo, SonarQube, Confluence, qTest, JMeter, Selenium, Appium, HP-UFT/QTP, and JMeter: 1 year (Preferred)  Test planning, test case management, code coverage and defect analysis.: 1 year (Required)   Education:   Bachelor's (Required)   Additional Compensation:   Other forms   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off  Tuition reimbursement    ]",12-27-2019
"Senior Software Engineer - Localization, Autonomous Driving",Aptiv,"Pittsburgh, PA 15238","[      Aptiv Autonomous Mobility        Our real-world mobility solutions are driving us toward a safer, greener and better- connected future. Aptiv is providing the “brain” and “nervous system” for vehicles that will change the face of mobility for people worldwide.       Aptiv’s Autonomous Mobility team is focused on developing and commercializing autonomous vehicles and systems that enable point-to-point mobility via large fleets of autonomous vehicles in challenging urban driving environments. With talented teams working across the globe, from Boston to Singapore, Aptiv was the first company to deploy a commercial, point-to-point autonomous ride-hailing service based in Las Vegas, Nevada.       In November 2017, Aptiv acquired autonomous vehicle software startup nuTonomy, an integral part of Aptiv’s Autonomous Mobility team. With continued research, development, and both current and future commercial deployments, we are looking for talented and passionate people to join our team.       Work with leading engineers, research scientists, marketers and business development experts, all while enabling the future of mobility. At Aptiv, we believe that our mobility solutions have the power to change the world. For more information, please visit www.aptiv.com/our-journey and see our www.aptiv.com/careers for opportunities.        About this position        Our Software Engineers play a key role in making the vehicle of the future a reality by developing technologies that deliver a turnkey, fully autonomous driving system for our customers. Do you enjoy the challenge of working in a complex and growing system where new features are being added and evaluated rapidly? Do you enjoy working closely with roboticists and engineers to bring ground breaking algorithms from concept to prototype and then from prototype to a product deployed in the real world at scale? If the answers are yes, we’re looking for you.       What You'll Do:      Work closely with algorithm experts to implement and maintain localization pipeline.   Review code for the team.   Use your top-notch software development expertise to inspire others to develop better software practices and principles.   Develop clean software for the perception modules that sit at the core of autonomous driving systems and interface with all other key modules such as controls and planning.   Collaborate with perception experts and experienced roboticists on cutting edge algorithms from design, prototyping, testing, deployment to productization.   Design and build robust and scalable codebase that enables rapid exploration and evaluation of different perception approaches and algorithms.   Show initiative and be a valued team member in our innovative, fast-paced, entrepreneurial environment where cooperative teamwork is the norm.          What You'll Bring:      Bachelor’s degree or higher in Computer Science or relevant field.   5+ years of software development experience.   Expert C++ (i.e. C++11, C++14, C++17) development experience in a Unix/Linux environment.   Python experience is a plus.   Experience with Git.   Excellent knowledge of linear algebra and mathematical optimization.   Advanced knowledge of software engineering principles including software design, source control management, build processes, code reviews, testing methods.   Experience in safety-critical applications and hard real-time constraints.   Strong problem-solving skills and ability to learn.   Strong communication and interpersonal skills.   Flexible and creative thinking.   Experience working on robotics system and with robotics and researchers is a plus.   Knowledge in perception, and other related robotics fields is a plus.        Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law.     ]",12-27-2019
"Software Engineer, Mobile",Virgin Pulse,"Providence, RI","[     Providence, RI         Who we are:    Virgin Pulse, founded as part of Sir Richard Branson’s famed Virgin Group, helps organizations build employee health and wellbeing into the DNA of their corporate cultures. As the global leader in health and wellbeing, we are committed to helping change lives and businesses around the world for good so that people and organizations can thrive. Today, more than 3100 organizations across the globe are using Virgin Pulse solutions to improve health, employee wellbeing and engagement, reduce costs and create strong workplace cultures.   This emphasis on employee satisfaction while containing cost is what sets us apart from the competition. If you search Virgin Pulse App, you will find our mobile app, which by the way, has been downloaded over 1 million times. You will see its app rating of 4.9 stars in the Apple App Store, with over 88,000 reviews! That’s not only impressive for a Business to Business application that is provided by an employer’s HR department, it is impressive for any consumer grader application!    What we are building:    We are focused on continuing the growth of our next-generation SaaS application and are looking for people who aspire to be a professional Software Engineers to join our team.   As a Software Engineer at Virgin Pulse you will work on a scrum team. You bring to the table a base understanding of many modern open-source web technologies, and are dedicated to learning more. Each day you will be collaborating with Tech Leads, Product Managers, UX Designers, and other talented Engineers to deliver great solutions on an exponentially growing application.   You'll be working on platform that serves:    Several million engaged users   50 billion+ consumer generated API calls a year   Native mobile clients with 750k+ MAU (Monthly Active Users)     What are we looking for in a new hire:    Hiring is the most important thing a growing business needs to do well. We look for engineers who have following the three attributes: they are technical, versatile, and data driven.   Since each engineering team operates with a high degree of autonomy, the work to deliver software involves many functions from sprint to sprint with a model of ""build it, run it"". As we hire, we are looking for engineers who are good communicators and can do more than just writing code. Versatility and making decision based on data are important attributes of working in engineering.    You will:     Design, code, and test new platform components, features, and enhancements for our native mobile platforms (Swift/Java/Kotlin) Collaborate with agile cross-functional teams to define, design, and ship new features   Triage, analyze and improve app performance in production   Participate in sprint ceremonies to design solutions, estimate effort, and collaborate with the team to effectively plan work   Unit-test code for robustness, including edge cases, usability, and general reliability Monitor platform performance tools in production and raise awareness to team     You are someone with:     Bachelor's degree in Computer Science, a related technical field or equivalent practical training and/or experience. Each will be considered equally.   2+ years of mobile development experience (iOS or Android).   Outstanding problem solving skills and a solid grasp of object-oriented programming   Solid understanding of the full mobile development life cycle   Strong communication skills, openness to collaborate, and enthusiasm to deliver as a part of a team   A passion and drive for learning technologies and applying them pragmatically   An ability to contribute to a technical discussion and the openness to listen and learn from your peers     You should at least be familiar with  .     Experience with Swift, Kotlin or Java   Experience with RESTful APIs   Experience writing Unit Tests   Experience working with DB   Agile Scrum or Kanban methodologies     What makes you stand out  .     Reactive Programming (RxSwift, RxJava)   Experience with multithreading programming   Familiar with Bluetooth, NFC or other short distance wireless communication technologies     What we will provide  .     Attractive market competitive salaries   Personal education and skills development budget   Hands on mentoring and career growth   Regular company activities and team building   Modern office space in Tuzla spread across 1400m2   Use of our in-office gym and fitness facilities   Free snacks and drinks   Relaxation and gaming space     Why join Virgin Pulse  .    This is the best time to join Virgin Pulse because you can learn a lot working for a fast growing, successful company. It is actually fairly rare in one’s career to find a company that is about to enter a phase of substantial growth - that very same company with the resources, the technology know-how, a track record, and a vision to redefine an entire industry. At this time, Virgin pulse is one of those rare companies.    ]",12-27-2019
Software Engineer,GameCo LLC.,"Reno, NV","[   Based in either Reno or Las Vegas  The Software Engineer is responsible for the design and development pertaining to company's product lines. Engage with other team members and help define the product objective directly with the product owner and technical lead to ensure the continuous development of quality products.  Reports to: Head of Engineering  Location: Reno or Las Vegas, NV (some travel involved between locations)   JOB SUMMARY    Focus is on, but not limited to the following:    · Takes ownership of the product line lifecycle for each product assigned from end to end. Must have ""will get it done"" work ethic. Never ""why we can't"", always ""how can we""  · Comfortable working closely with a team of developers, artists, designers and producers as well as alone on specific tasks  · Able to put team first and product first but speak up when a better path is available  · High level of comfort sharing a code base with a team as well as working within code constructs created by other developers  · Work confidently in Unity C# to build games at a level that meets or exceeds industry standards for both user experience and regulatory compliance  · Attention to detail and visual acuity associated with final polish stage of video game development  · Comfort with basic IT networking and security protocols  · Able to work with product team to help define product specifications, milestones, and implementation goals  · Experience in both Agile and Waterfall project management environments  · Participate in regular status meetings with all necessary stakeholders  · Develops, maintains, and produces all necessary technical documentation for each product task assigned for both internal and regulatory purposes  · Communicate product status, and key issues to key constituents across the organization including managers, technical lead, Artists, QA, and others  · Manages existing products on an ongoing basis, including product line extensions and enhancements, prioritization, and technical white papers  · Self-starter, self-sufficient, and self-reliant to accomplish required tasks  · Accountable to deliver quality products consistently and on time   SKILLS/QUALIFICATIONS:    · Bachelor's degree in computer science or related field  · Solid foundation in C# and or Unity development tools  · Solid foundation in C++ (C++ 11 and C++ 14 constructs) and programming data structures in a Microsoft environment a plus  · Math Sciences, statistics, probability understanding  · Minimum of 3 years' professional casino gaming industry experience as a C++ or Unity C-developer  · Excellent communication management and organization skills, flexibility and the proven ability to build high quality products  · Self-motivated, team-oriented  * Strong debugging and analytic skills  · Attention to detail in all areas of work   ADDITIONAL REQUIREMENTS:    · Strong visual design sense. Understanding of UI and ""pixel perfect"" products.  · Casino game development experience, with a basic understanding of regulatory compliance.  · A plus for candidates with experience in social gaming and/ or online based gaming.  · Thorough understanding of start to finish game development process.  · Appreciation of game play and game theory.  Job Type: Full-time  Experience:   C++, C#, Unity development: 3 years (Required)  Casino Gaming Software: 3 years (Required)   Work authorization:   United States (Required)   Additional Compensation:   Bonuses   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off  Flexible schedule  Relocation assistance  Professional development assistance   This Company Describes Its Culture as:   Innovative -- innovative and risk-taking  Outcome-oriented -- results-focused with strong performance culture  Team-oriented -- cooperative and collaborative    ]",12-27-2019
Security Engineer,Sistema,"Lakeland, FL","[    Position Summary   This position is responsible for assisting with the day-to-day security operations of the organization, administering, and maintaining several security systems.   Essential Duties and Responsibilities    Support, maintain, and monitor security-focused tools and services  Interpret and enforce security policies and procedures  Identify security issues and risks, and develop mitigation plans  Manage vulnerability remediation including discovering, advising, researching and communicating vulnerabilities to the internal security operations team as well the system owners  Assist the Security Operations team with maintaining the enterprise's Risk Management program  Take part in analysis and architecture activities as needed  Other duties as assigned    Qualifications    Detailed knowledge of system and network security vulnerabilities and remediation techniques  Strong experience and detailed technical knowledge in security engineering, system/network security, authentication, and security protocols  Knowledge of security practices in cloud environments  Advanced troubleshooting skills  Endpoint protection knowledge  SIEM knowledge  Experience with Firewalls – Palo Alto or Cisco  Knowledge of log analysis and correlation techniques  Knowledge of network and communication related protocols (e.g., TCP, UDP, IPSEC, HTTP(s), routing protocols, etc.)  Hands on experience implementing and maintainingsecurity and network tools.  Compliance knowledge – PCI, NIST, HIPAA, SOC2, etc.  Preferred Certifications List– GIAC, CEH, OSCP, Security , CISSP  Scripting experience preferred    Work Environment / Physical Demands   This position is in a typical office environment which requiresprolonged sitting in front of a computer. Requires hand-eye coordination and manual dexterity sufficient to operate standard office equipment including operation of standardcomputer and phone equipment. May have occasional high stress when dealing with customers/clients.  Job Type: Full-time  Salary: $90,000.00 to $100,000.00 /year  Experience:   Security Engineering: 4 years (Required)  Firewalls - Palo Alto or Cisco: 2 years (Required)  system and network security vulnerabilities and remediation: 2 years (Required)  SIEM and Endpoint Protection: 1 year (Required)   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off    ]",12-27-2019
Cyber Security Engineer,Tekwissen LLC,"Sterling, VA","[    Job Summary  Intelligence, Information and Services (IIS) is currently seeking a Principal Systems Engineer to perform as a cyber-solutions engineer providing the next generation cyber security operations centers for international customers. This position requires experience across a broad range of cyber technologies and working in a team environment with responsibilities across all phases of Systems development. We are searching for strong candidates with skills across a range of systems engineering disciplines: from concept development and requirements, to analysis and design, and finally to test and verification. Responsibilities:  * Contributing to the system design, including CONOPs, scenario, and use case development * Validation of the design with internal and external customers * Engaging with the factory implementation, test, and deployment of the system * Working with the team through acceptance and initial operation * Contributing to the training of the ops team Required Skills:  * Strong knowledge of the systems engineering lifecycle to include development of system architecture/system design, system CONOPS and system level use case development, and/or demonstrated experience in the deployment, test and contract sell-off of security operations centers * 6+ years of engineering experience * Demonstrated experience in the cyber security operations domain * Enthusiastic &amp; energetic performer able to work in a dynamic, fast-paced, &amp; high visibility environment * Willingness to travel to the Middle East/North Africa (MENA) region * Current / Active US Passport Desired Skills:  * Experience with Agile development and the Atlassian tool suite (JIRA, Test Rail, Confluence) * Experience working on systems engineering teams throughout the full system development life cycle, from requirements and architecture through integration, verification, and validation * Experience with the development of formal systems engineering artifacts across that life cycle * Supporting international customer and contracts  *   Experience supporting business development and proposal teams * Effective written and verbal communication, customer focus, collaboration, and multitasking skills Education Requirements:  * B.S. in Aerospace Engineering, Systems Engineering, Electrical Engineering, Computer Science, Mechanical Engineering, Physics, Math, or similar STEM degree or 14 years prior relevant experience in lieu of education  Job Type: Contract  Salary: $70.00 to $75.00 /hour  Experience:   System Engineer: 4 years (Required)  Engineering: 6 years (Required)  Systems Design: 3 years (Required)   Education:   Bachelor's (Required)   Required travel:   50% (Required)   Contract Length:   1 year    ]",12-27-2019
Sr. Security Engineer,WellDyneRx LLC,"Lakeland, FL 33810","[     Position Summary    This position is responsible for assisting with the day-to-day security operations of the organization, administering, and maintaining several security systems.       Essential Duties and Responsibilities     Support, maintain, and monitor security-focused tools and services   Interpret and enforce security policies and procedures   Identify security issues and risks, and develop mitigation plans   Manage vulnerability remediation including discovering, advising, researching and communicating vulnerabilities to the internal security operations team as well the system owners   Assist the Security Operations team with maintaining the enterprise's Risk Management program   Take part in analysis and architecture activities as needed   Other duties as assigned        Qualifications     Detailed knowledge of system and network security vulnerabilities and remediation techniques   Strong experience and detailed technical knowledge in security engineering, system/network security, authentication, and security protocols   Knowledge of security practices in cloud environments   Advanced troubleshooting skills   Endpoint protection knowledge   SIEM knowledge   Experience with Firewalls – Palo Alto or Cisco   Knowledge of log analysis and correlation techniques   Knowledge of network and communication related protocols (e.g., TCP, UDP, IPSEC, HTTP(s), routing protocols, etc.)   Hands on experience implementing and maintaining security and network tools.   Compliance knowledge – PCI, NIST, HIPAA, SOC2, etc.   Preferred Certifications List– GIAC, CEH, OSCP, Security+, CISSP   Scripting experience preferred        Work Environment / Physical Demands    This position is in a typical office environment which requires prolonged sitting in front of a computer. Requires hand-eye coordination and manual dexterity sufficient to operate standard office equipment including operation of standard computer and phone equipment. May have occasional high stress when dealing with customers/clients.      EOE M/F/D/V    ]",12-27-2019
